Date : 2026-03-02 15:59:09
Directory : /Users/remidesbordes/Documents/Teams/TeamsServer_/src
Total : 138 files,  -721 codes, -87 comments, -259 blanks, all -1067 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        138 |       -721 |        -87 |       -259 |     -1,067 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Network/Server/TcpListenerWebRTC.cpp           | C++      |         22 |          1 |          3 |         26 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Network/Server/TcpListenerWebRTC.h             | C++      |         18 |          9 |          5 |         32 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Network/Session/AuthSession.cpp                | C++      |         40 |          0 |          6 |         46 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Network/Session/AuthSession.h                  | C++      |         21 |          7 |          8 |         36 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Network/Session/WebRTCSession.cpp              | C++      |         46 |          2 |          7 |         55 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Network/Session/WebRTCSession.h                | C++      |         27 |          0 |          8 |         35 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Network/protocol/MessageParser.cpp             | C++      |          0 |          0 |          1 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Network/protocol/MessageParser.h               | C++      |          0 |          0 |          1 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Network/protocol/MessageSerializer.cpp         | C++      |          0 |          0 |          1 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Network/protocol/MessageSerializer.h           | C++      |          0 |          0 |          1 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Network/protocol/Protocol.h                    | C++      |          0 |          0 |          1 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Network/protocol/ProtocolHandler.cpp           | C++      |          0 |          0 |          1 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Network/protocol/ProtocolHandler.h             | C++      |          0 |          0 |          1 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Network/router/MessageRouter.cpp               | C++      |          0 |          0 |          1 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Network/router/MessageRouter.h                 | C++      |          0 |          0 |          1 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Network/router/RouteTable.cpp                  | C++      |          0 |          0 |          1 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Network/router/RouteTable.h                    | C++      |          0 |          0 |          1 |          1 |
